Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,no_of_total_guests,no_of_total_days_stay
INN30609,2,0,0,3,Meal Plan 1,0,Room_Type 2,43,2018,1,14,Online,0,0,0,86.75,1,Not_Canceled,2,3
INN11579,3,0,1,2,Meal Plan 1,0,Room_Type 4,35,2018,5,27,Online,0,0,0,153.3,0,Canceled,3,3
INN03264,1,0,0,2,Meal Plan 1,0,Room_Type 1,85,2017,9,9,Corporate,0,0,0,90.0,0,Not_Canceled,1,2
INN35387,2,0,0,4,Meal Plan 1,0,Room_Type 1,180,2018,7,13,Online,0,0,0,90.95,1,Not_Canceled,2,4
INN08198,2,0,2,0,Meal Plan 1,0,Room_Type 1,23,2018,9,11,Online,0,0,0,100.1,2,Not_Canceled,2,2
INN07454,2,0,2,0,Meal Plan 1,0,Room_Type 1,52,2018,9,11,Online,0,0,0,130.0,0,Canceled,2,2
INN28228,2,0,2,2,Meal Plan 1,0,Room_Type 1,45,2018,6,19,Online,0,0,0,79.33,1,Not_Canceled,2,4
INN19042,2,0,0,2,Meal Plan 2,0,Room_Type 1,291,2018,8,19,Offline,0,0,0,115.0,0,Canceled,2,2
INN35179,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,10,20,Online,0,0,0,139.0,0,Not_Canceled,1,1
INN34390,1,0,0,1,Meal Plan 1,0,Room_Type 1,87,2018,5,27,Online,0,0,0,94.25,1,Not_Canceled,1,1
INN02238,1,0,4,8,Meal Plan 1,0,Room_Type 1,10,2018,11,20,Online,0,0,0,96.92,0,Canceled,1,12
INN31796,2,0,2,0,Meal Plan 2,0,Room_Type 1,275,2018,4,17,Offline,0,0,0,110.0,0,Canceled,2,2
INN31894,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0,Canceled,1,3
INN33804,2,0,1,2,Meal Plan 1,0,Room_Type 1,43,2018,8,8,Online,0,0,0,99.41,1,Not_Canceled,2,3
